Security Code,Security Ticker,Security Name,Sector,Previous Closing Price,Open Price,High,Low,Closing Price,Volume,Value,No. of Trades,No. of Shares,Market Cap
212,ARZAN,ARZAN FINANCIAL GROUP FOR FINANCING AND INVESTMENT,FINANCIAL SERVICES,352,354,355,349,352,"1,859,986","652,017.81",147,"906,301,173","319,018,012.90"
213,MARKAZ,KUWAIT FINANCIAL CENTRE,FINANCIAL SERVICES,167,166,167,164,166,"310,982","51,508.23",36,"487,961,342","81,001,582.77"
214,KMEFIC,KUWAIT AND MIDDLE EAST FINANCIAL INVESTMENT CO.,FINANCIAL SERVICES,146,145,148,143,147,"330,441","47,987.69",56,"220,000,001","32,340,000.15"
219,ALOLA,FIRST INVESTMENT COMPANY,FINANCIAL SERVICES,136,137,139,136,138,"6,053,982","831,423.64",247,"445,978,742","61,545,066.40"
221,GIH,GULF INVESTMENT HOUSE,FINANCIAL SERVICES,517,520,528,501,522,"665,933","343,934.72",158,"404,366,676","211,079,404.87"
222,AAYAN,AAYAN LEASING & INVESTMENT CO.,FINANCIAL SERVICES,213,213,221,212,218,"5,623,928","1,218,392.96",243,"664,038,824","144,760,463.63"
223,BAYANINV,BAYAN INVESTMENT HOLDING CO.,FINANCIAL SERVICES,79.1,78.2,80.6,78.2,79.8,"211,460","16,610.10",23,"217,675,347","17,370,492.69"
225,OSOUL,OSOUL INVESTMENT CO.,FINANCIAL SERVICES,276,286,288,275,287,"5,387","1,527.69",8,"126,426,230","36,284,328.01"
227,KFIC,KFIC INVEST (K.S.C.P),FINANCIAL SERVICES,146,143,146,140,146,"78,201","11,086.29",10,"245,489,943","35,841,531.68"
228,KAMCO,KAMCO INVESTMENT COMPANY K.S.C (PUBLIC),FINANCIAL SERVICES,224,222,222,213,216,"9,641,405","2,088,849.08",591,"342,332,633","73,943,848.73"
231,NIH,NATIONAL INTERNATIONAL HOLDING CO.,FINANCIAL SERVICES,141,140,145,139,143,"1,186,322","168,893.67",87,"245,638,299","35,126,276.76"
232,UNICAP,UNICAP INVESTMENT AND FINANCE,FINANCIAL SERVICES,313,311,318,311,316,"106,381","33,471.35",35,"239,596,843","75,712,602.39"
233,MADAR,AL MADAR KUWAIT HOLDING CO.,FINANCIAL SERVICES,112,114,121,110,114,"3,047,748","355,782.17",288,"206,581,914","23,550,338.20"
234,ALDEERA,AL-DEERA HOLDING CO.,FINANCIAL SERVICES,520,523,526,519,522,"1,106,936","576,855.70",173,"113,566,068","59,281,487.50"
235,ALSAFAT,ALSAFAT INVESTMENT COMPANY,FINANCIAL SERVICES,260,260,274,260,272,"1,188,773","317,771.25",112,"285,968,195","77,783,349.04"
